epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7268,2.99073,4.20082,4.35577,0.00095,0.27778,0.00177,0.00041,3.06953,4.19027,4.15686,0.000583333,0.000583333,0.000583333
2,51.1907,2.9011,4.0417,4.24576,0.00095,0.27778,0.00092,0.00023,3.06039,4.186,4.15286,0.00124588,0.00124588,0.00124588
3,70.7835,2.87539,3.93727,4.18194,0.00095,0.27778,0.00076,0.00018,3.04848,4.17638,4.14841,0.00190402,0.00190402,0.00190402
4,89.0174,2.91769,3.97019,4.09733,0.00095,0.27778,0.00104,0.00025,3.02045,4.14659,4.13839,0.0019802,0.0019802,0.0019802
5,107.208,2.99087,3.69405,4.05961,0.00094,0.27778,0.00105,0.00027,2.95525,4.12426,4.11663,0.0019736,0.0019736,0.0019736
6,126.447,3.05339,3.84277,4.02085,0.00094,0.27778,0.00101,0.00031,2.87786,4.08279,4.09091,0.001967,0.001967,0.001967
7,152.695,2.88269,3.5283,3.91382,0.00094,0.27778,0.00082,0.00025,2.86179,4.05277,4.0747,0.0019604,0.0019604,0.0019604
8,181.321,3.06687,3.41665,3.83546,0.00094,0.27778,0.00076,0.00024,2.86189,4.00428,4.06439,0.0019538,0.0019538,0.0019538
9,215.963,2.86527,3.20773,3.72138,0.00113,0.33333,0.00157,0.00052,2.78508,3.97816,4.00868,0.0019472,0.0019472,0.0019472
