epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,723.598,2.2089,1.97248,2.7844,0.89471,0.3,0.32037,0.15646,2.61871,4.082,3.92268,0.0017228,0.0017228,0.0017228
44,739.662,1.87833,1.75499,2.58066,0.4873,0.4,0.34706,0.16626,2.53548,3.38239,3.33799,0.0017162,0.0017162,0.0017162
45,756.065,2.08947,1.77971,2.72161,0.56788,0.78923,0.6309,0.32961,1.82004,2.49507,2.60681,0.0017096,0.0017096,0.0017096
46,773.257,2.16014,1.95881,2.71813,0.51142,0.7,0.66921,0.3845,1.67134,2.24305,2.48893,0.001703,0.001703,0.001703
47,789.016,2.19724,1.83722,2.74702,0.74184,0.7,0.86297,0.36172,1.82331,3.72609,2.64734,0.0016964,0.0016964,0.0016964
48,804.768,1.95284,1.9003,2.60285,0.74184,0.7,0.86297,0.36172,1.82331,3.72609,2.64734,0.0016898,0.0016898,0.0016898
49,820.62,1.87972,1.77837,2.59261,0.87572,0.70521,0.91152,0.40953,1.74839,3.07813,2.54809,0.0016832,0.0016832,0.0016832
50,837.852,2.15307,1.97792,2.77985,0.90401,0.94414,0.97682,0.57158,1.47363,2.04315,2.30823,0.0016766,0.0016766,0.0016766
51,853.703,2.08033,1.72579,2.72428,0.86708,0.8,0.91067,0.54283,1.48678,1.80067,2.27659,0.00167,0.00167,0.00167
52,869.51,2.06955,1.754,2.69503,0.66277,0.8,0.87553,0.47432,1.73447,2.89434,2.49062,0.0016634,0.0016634,0.0016634
53,885.487,1.79894,1.59357,2.44761,0.58676,0.9,0.8728,0.47181,1.69924,3.14865,2.48296,0.0016568,0.0016568,0.0016568
54,901.679,2.04015,1.68743,2.67063,0.80504,0.82774,0.87215,0.46723,1.82824,3.07076,2.55781,0.0016502,0.0016502,0.0016502
55,917.614,2.00687,1.57414,2.65696,0.86886,0.6656,0.82784,0.41609,1.95629,2.65681,2.61499,0.0016436,0.0016436,0.0016436
56,933.708,2.03659,1.52018,2.59507,0.86886,0.6656,0.82784,0.41609,1.95629,2.65681,2.61499,0.001637,0.001637,0.001637
57,949.763,1.89717,1.56765,2.56214,0.88251,0.75405,0.87528,0.47764,1.77276,2.12215,2.44538,0.0016304,0.0016304,0.0016304
58,966.244,1.74898,1.64142,2.50679,0.62851,0.9,0.75749,0.45469,1.63672,1.71773,2.33612,0.0016238,0.0016238,0.0016238
59,982.558,2.13253,1.88002,2.78073,0.67997,0.8,0.77,0.42899,1.57177,1.67676,2.29929,0.0016172,0.0016172,0.0016172
60,998.446,2.02525,1.67866,2.65792,0.63591,0.8,0.71392,0.41578,1.52552,1.95387,2.28641,0.0016106,0.0016106,0.0016106
61,1015.23,1.94427,1.62751,2.53819,0.68998,0.89091,0.70293,0.44652,1.51078,1.78749,2.23238,0.001604,0.001604,0.001604
62,1031.34,1.89564,1.63965,2.41785,1,0.69149,0.90929,0.5204,1.44732,1.49759,2.1929,0.0015974,0.0015974,0.0015974
63,1047.44,1.91334,1.71999,2.55914,0.95747,0.9,0.96167,0.50927,1.5064,1.61011,2.22535,0.0015908,0.0015908,0.0015908
64,1063.32,1.92161,1.72377,2.52181,0.95747,0.9,0.96167,0.50927,1.5064,1.61011,2.22535,0.0015842,0.0015842,0.0015842
65,1079.56,1.70657,1.59789,2.37359,0.81465,0.88059,0.80545,0.50694,1.56479,1.66923,2.25563,0.0015776,0.0015776,0.0015776
66,1095.25,1.8057,1.51793,2.34217,0.90693,0.9762,0.96773,0.54015,1.49091,1.65572,2.18356,0.001571,0.001571,0.001571
67,1111.47,1.76838,1.48751,2.38635,0.81062,0.85843,0.91834,0.53462,1.39478,1.98942,2.09423,0.0015644,0.0015644,0.0015644
68,1127.88,1.6956,1.45836,2.39636,0.87454,0.69743,0.86292,0.49899,1.47365,1.97819,2.16906,0.0015578,0.0015578,0.0015578
