epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,621.737,2.44994,2.12608,3.00336,0.76295,0.4,0.42135,0.12719,2.86033,3.23898,3.66529,0.0017228,0.0017228,0.0017228
44,638.5,2.44939,2.1021,3.12483,0.62341,0.5,0.46447,0.19439,2.82416,2.72906,3.91667,0.0017162,0.0017162,0.0017162
45,657.764,2.40987,2.22704,3.07814,1,0.3864,0.45982,0.19854,2.80168,3.13861,3.80673,0.0017096,0.0017096,0.0017096
46,673.522,2.351,2.04678,3.13387,1,0.3864,0.45982,0.19854,2.80168,3.13861,3.80673,0.001703,0.001703,0.001703
47,687.172,2.41951,1.86702,2.97606,0.39611,0.4,0.30047,0.0733,2.73177,3.41883,3.63016,0.0016964,0.0016964,0.0016964
48,701.864,2.45239,1.95531,3.02088,0.92565,0.3,0.4415,0.15896,2.40478,3.06039,3.32333,0.0016898,0.0016898,0.0016898
49,716.451,2.51801,1.89833,3.09433,0.92565,0.3,0.4415,0.15896,2.40478,3.06039,3.32333,0.0016832,0.0016832,0.0016832
50,731.052,2.19235,1.78558,2.87711,0.62635,0.4,0.40974,0.21216,2.21804,2.89366,3.22931,0.0016766,0.0016766,0.0016766
51,745.688,2.07839,1.80549,2.78466,0.62635,0.4,0.40974,0.21216,2.21804,2.89366,3.22931,0.00167,0.00167,0.00167
52,759.611,2.21586,1.83014,2.9224,0.44169,0.3,0.32689,0.17507,1.91332,3.14187,3.02406,0.0016634,0.0016634,0.0016634
53,773.903,2.12065,1.88833,2.83452,0.63282,0.8,0.83682,0.37546,1.90933,2.38072,2.83319,0.0016568,0.0016568,0.0016568
54,786.976,2.1651,1.77159,2.83215,0.63282,0.8,0.83682,0.37546,1.90933,2.38072,2.83319,0.0016502,0.0016502,0.0016502
55,800.6,1.99391,1.63539,2.7442,0.6742,0.7,0.69813,0.31648,1.78144,2.46184,2.80295,0.0016436,0.0016436,0.0016436
56,813.844,2.4182,1.92853,3.02613,0.77303,0.4,0.45229,0.18898,1.79833,2.99748,2.97483,0.001637,0.001637,0.001637
57,827.358,2.27481,1.88145,2.92003,0.77303,0.4,0.45229,0.18898,1.79833,2.99748,2.97483,0.0016304,0.0016304,0.0016304
58,841.438,2.29687,1.80585,2.88276,0.6531,0.5,0.49156,0.25036,1.89136,2.8409,2.91912,0.0016238,0.0016238,0.0016238
59,855.523,2.38994,1.8713,3.01008,0.6531,0.5,0.49156,0.25036,1.89136,2.8409,2.91912,0.0016172,0.0016172,0.0016172
60,868.91,2.08315,1.74589,2.84762,0.58727,0.9,0.6767,0.34912,1.7146,2.42867,2.67666,0.0016106,0.0016106,0.0016106
61,882.502,2.07645,1.71685,2.68799,0.38663,0.7,0.41499,0.2351,1.67475,4.21348,2.62126,0.001604,0.001604,0.001604
62,896.343,1.96828,1.74757,2.73329,0.38663,0.7,0.41499,0.2351,1.67475,4.21348,2.62126,0.0015974,0.0015974,0.0015974
63,910.292,1.97975,1.85468,2.82508,0.32102,0.9,0.36178,0.20539,1.6767,5.77445,2.63283,0.0015908,0.0015908,0.0015908
64,924.142,2.09557,1.68384,2.73857,0.27309,0.9,0.32194,0.16254,1.76487,5.00278,2.6803,0.0015842,0.0015842,0.0015842
65,937.671,2.17258,1.63254,2.7539,0.27309,0.9,0.32194,0.16254,1.76487,5.00278,2.6803,0.0015776,0.0015776,0.0015776
66,951.748,2.29548,1.90869,2.93931,0.31513,0.8,0.411,0.18957,1.78262,2.94003,2.88208,0.001571,0.001571,0.001571
67,965.762,1.99226,1.74311,2.76175,0.31513,0.8,0.411,0.18957,1.78262,2.94003,2.88208,0.0015644,0.0015644,0.0015644
68,979.696,2.12799,1.70593,2.7251,0.35556,0.8,0.49796,0.22324,1.75744,2.76545,2.79133,0.0015578,0.0015578,0.0015578
69,994.124,2.09509,1.66863,2.69467,0.3867,0.8,0.5491,0.26998,1.79465,2.73614,2.67984,0.0015512,0.0015512,0.0015512
70,1008.13,2.05882,1.67057,2.70767,0.3867,0.8,0.5491,0.26998,1.79465,2.73614,2.67984,0.0015446,0.0015446,0.0015446
71,1022,2.0982,1.57031,2.74749,0.48981,0.9,0.61144,0.36496,1.49644,2.90015,2.5638,0.001538,0.001538,0.001538
72,1036.06,1.95951,1.65726,2.75015,0.63953,0.8879,0.76203,0.40642,1.52114,2.42046,2.49721,0.0015314,0.0015314,0.0015314
73,1049.71,1.96155,1.64757,2.65354,0.63953,0.8879,0.76203,0.40642,1.52114,2.42046,2.49721,0.0015248,0.0015248,0.0015248
74,1062.96,1.86329,1.50364,2.58102,0.65244,0.8,0.67458,0.37263,1.57199,2.57402,2.47766,0.0015182,0.0015182,0.0015182
75,1076.93,2.17872,1.69045,2.75601,0.65244,0.8,0.67458,0.37263,1.57199,2.57402,2.47766,0.0015116,0.0015116,0.0015116
76,1091.53,1.97094,1.50418,2.60338,0.49342,0.9,0.49978,0.26916,1.48439,2.89109,2.53854,0.001505,0.001505,0.001505
77,1104.97,1.8043,1.44576,2.6079,0.66043,0.77943,0.60588,0.3121,1.69699,2.40452,2.73816,0.0014984,0.0014984,0.0014984
78,1118.16,1.88249,1.48149,2.63012,0.66043,0.77943,0.60588,0.3121,1.69699,2.40452,2.73816,0.0014918,0.0014918,0.0014918
79,1131.28,1.96876,1.49007,2.62035,0.88321,0.8,0.78783,0.4084,1.76582,2.10258,2.83929,0.0014852,0.0014852,0.0014852
80,1145.12,1.93442,1.39469,2.53494,0.87658,0.6,0.76191,0.33782,1.84806,2.17071,2.91465,0.0014786,0.0014786,0.0014786
81,1159,1.92223,1.4463,2.6725,0.87658,0.6,0.76191,0.33782,1.84806,2.17071,2.91465,0.001472,0.001472,0.001472
82,1172.46,1.74063,1.40994,2.56304,0.65441,0.75955,0.75407,0.37663,1.68434,2.20702,2.82499,0.0014654,0.0014654,0.0014654
83,1186.15,1.8009,1.34477,2.53829,0.65441,0.75955,0.75407,0.37663,1.68434,2.20702,2.82499,0.0014588,0.0014588,0.0014588
84,1200.02,1.80073,1.41346,2.59151,0.88885,0.79975,0.85983,0.57185,1.34427,1.88161,2.53708,0.0014522,0.0014522,0.0014522
85,1213.67,1.79569,1.35926,2.60521,0.88691,0.7,0.85997,0.47859,1.48429,1.9363,2.51964,0.0014456,0.0014456,0.0014456
86,1227.11,1.9464,1.41357,2.71091,0.88691,0.7,0.85997,0.47859,1.48429,1.9363,2.51964,0.001439,0.001439,0.001439
87,1241.27,1.89158,1.41934,2.61245,1,0.7644,0.87114,0.54113,1.36775,1.91315,2.40014,0.0014324,0.0014324,0.0014324
88,1254.74,1.79293,1.35502,2.60631,0.81483,0.88156,0.85589,0.62389,1.25703,1.77595,2.33246,0.0014258,0.0014258,0.0014258
89,1268.24,1.70892,1.5055,2.48656,0.81483,0.88156,0.85589,0.62389,1.25703,1.77595,2.33246,0.0014192,0.0014192,0.0014192
90,1282.18,1.67022,1.29326,2.53776,0.82564,0.6,0.71601,0.43763,1.40785,2.07337,2.55264,0.0014126,0.0014126,0.0014126
91,1295.6,1.73947,1.3414,2.52333,0.82564,0.6,0.71601,0.43763,1.40785,2.07337,2.55264,0.001406,0.001406,0.001406
92,1309.38,1.84244,1.49064,2.47256,0.51628,0.6,0.50003,0.25881,1.71425,2.93991,2.7777,0.0013994,0.0013994,0.0013994
93,1322.77,1.80246,1.47254,2.49121,0.54138,0.6,0.45034,0.23206,1.65571,2.92133,2.68859,0.0013928,0.0013928,0.0013928
94,1336.11,1.62995,1.31889,2.46882,0.54138,0.6,0.45034,0.23206,1.65571,2.92133,2.68859,0.0013862,0.0013862,0.0013862
95,1350.04,1.59477,1.37997,2.47939,0.48686,0.76059,0.55475,0.32988,1.50503,2.3593,2.57067,0.0013796,0.0013796,0.0013796
96,1363.53,1.65611,1.3076,2.5699,0.84119,0.6,0.71759,0.42631,1.45693,2.1123,2.59156,0.001373,0.001373,0.001373
97,1377.48,1.64272,1.29033,2.43493,0.84119,0.6,0.71759,0.42631,1.45693,2.1123,2.59156,0.0013664,0.0013664,0.0013664
98,1391.13,1.73441,1.35602,2.51532,0.97966,0.6,0.76917,0.46853,1.51492,1.7966,2.52097,0.0013598,0.0013598,0.0013598
99,1404.77,1.85496,1.31612,2.44877,0.97966,0.6,0.76917,0.46853,1.51492,1.7966,2.52097,0.0013532,0.0013532,0.0013532
100,1419.53,1.67981,1.28315,2.54822,1,0.6827,0.84602,0.57191,1.27035,1.56156,2.44818,0.0013466,0.0013466,0.0013466
101,1433.13,1.61811,1.22365,2.42219,0.88676,0.9,0.8664,0.57992,1.20107,1.5589,2.40031,0.00134,0.00134,0.00134
102,1446.41,1.58691,1.21889,2.39146,0.88676,0.9,0.8664,0.57992,1.20107,1.5589,2.40031,0.0013334,0.0013334,0.0013334
103,1460.35,1.50309,1.15858,2.2934,0.87952,0.9,0.86653,0.58335,1.24203,1.5427,2.36913,0.0013268,0.0013268,0.0013268
104,1473.73,1.57154,1.22145,2.33054,0.788,0.9,0.84755,0.55983,1.32551,1.74224,2.46839,0.0013202,0.0013202,0.0013202
105,1486.88,1.68973,1.25258,2.32272,0.788,0.9,0.84755,0.55983,1.32551,1.74224,2.46839,0.0013136,0.0013136,0.0013136
106,1500.2,1.86577,1.36778,2.59566,0.80856,0.9,0.80413,0.50012,1.36233,1.84145,2.44709,0.001307,0.001307,0.001307
107,1513.58,1.5692,1.23648,2.34462,0.80856,0.9,0.80413,0.50012,1.36233,1.84145,2.44709,0.0013004,0.0013004,0.0013004
108,1528.21,1.40382,1.09885,2.17423,0.74287,0.9,0.73097,0.49126,1.33327,1.85101,2.36449,0.0012938,0.0012938,0.0012938
109,1542.61,1.5921,1.23336,2.31363,0.50615,0.8,0.52523,0.31642,1.36073,2.39678,2.43321,0.0012872,0.0012872,0.0012872
110,1556.62,1.54988,1.19523,2.30264,0.50615,0.8,0.52523,0.31642,1.36073,2.39678,2.43321,0.0012806,0.0012806,0.0012806
111,1570.61,1.6231,1.15552,2.25462,0.48153,0.7,0.41007,0.26196,1.41254,2.69196,2.62067,0.001274,0.001274,0.001274
112,1585.04,1.6564,1.33133,2.37615,0.63785,0.9,0.62751,0.39243,1.35948,2.1054,2.45052,0.0012674,0.0012674,0.0012674
113,1598.93,1.4884,1.11989,2.21949,0.63785,0.9,0.62751,0.39243,1.35948,2.1054,2.45052,0.0012608,0.0012608,0.0012608
114,1613.36,1.49081,1.18114,2.27587,0.68342,0.9,0.70683,0.44817,1.30707,2.11097,2.41487,0.0012542,0.0012542,0.0012542
115,1627.18,1.53868,1.25497,2.30009,0.68342,0.9,0.70683,0.44817,1.30707,2.11097,2.41487,0.0012476,0.0012476,0.0012476
116,1641.17,1.54429,1.15468,2.2815,0.69063,0.89346,0.73227,0.45849,1.36849,2.1238,2.40781,0.001241,0.001241,0.001241
117,1655.28,1.49854,1.25192,2.32794,0.85463,0.8,0.73559,0.39778,1.71749,1.9703,2.58227,0.0012344,0.0012344,0.0012344
118,1669.08,1.73216,1.24652,2.38413,0.85463,0.8,0.73559,0.39778,1.71749,1.9703,2.58227,0.0012278,0.0012278,0.0012278
119,1683.17,1.62654,1.17768,2.28,0.79442,0.6,0.71337,0.39766,1.57988,2.07275,2.61819,0.0012212,0.0012212,0.0012212
120,1697.1,1.4413,1.07929,2.177,0.97685,0.6,0.79373,0.45073,1.43372,1.92278,2.60629,0.0012146,0.0012146,0.0012146
121,1710.25,1.47445,1.12579,2.28801,0.97685,0.6,0.79373,0.45073,1.43372,1.92278,2.60629,0.001208,0.001208,0.001208
122,1723.2,1.43175,1.12744,2.26144,1,0.86717,0.89698,0.5722,1.24234,1.53418,2.36631,0.0012014,0.0012014,0.0012014
123,1736.58,1.57717,1.16972,2.32522,1,0.86717,0.89698,0.5722,1.24234,1.53418,2.36631,0.0011948,0.0011948,0.0011948
124,1749.66,1.4397,1.08254,2.12448,0.89274,0.9,0.88609,0.50081,1.43395,1.59214,2.35493,0.0011882,0.0011882,0.0011882
125,1762.77,1.57181,1.11482,2.22444,0.73774,0.9,0.81602,0.43464,1.48974,2.21589,2.45104,0.0011816,0.0011816,0.0011816
126,1775.77,1.55501,1.15253,2.28236,0.73774,0.9,0.81602,0.43464,1.48974,2.21589,2.45104,0.001175,0.001175,0.001175
127,1791.1,1.5198,1.15976,2.24404,0.80423,0.9,0.82273,0.50105,1.2837,1.95506,2.26003,0.0011684,0.0011684,0.0011684
128,1805.43,1.46564,1.13148,2.17383,0.89925,0.89328,0.855,0.57707,1.12863,1.63586,2.20183,0.0011618,0.0011618,0.0011618
