epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3385,2.99073,4.20082,4.35577,0.00095,0.27778,0.00177,0.00041,3.06953,4.19027,4.15686,0.000583333,0.000583333,0.000583333
2,83.8594,2.9011,4.0417,4.24576,0.00095,0.27778,0.00092,0.00023,3.06039,4.186,4.15286,0.00124588,0.00124588,0.00124588
3,107.369,2.87539,3.93727,4.18194,0.00095,0.27778,0.00076,0.00018,3.04848,4.17638,4.14841,0.00190402,0.00190402,0.00190402
4,125.419,2.91769,3.97019,4.09733,0.00095,0.27778,0.00104,0.00025,3.02045,4.14659,4.13839,0.0019802,0.0019802,0.0019802
5,143.522,2.99087,3.69405,4.05961,0.00094,0.27778,0.00105,0.00027,2.95525,4.12426,4.11663,0.0019736,0.0019736,0.0019736
6,161.895,3.05339,3.84277,4.02085,0.00094,0.27778,0.00101,0.00031,2.87786,4.08279,4.09091,0.001967,0.001967,0.001967
7,180.261,2.88269,3.5283,3.91382,0.00094,0.27778,0.00082,0.00025,2.86179,4.05277,4.0747,0.0019604,0.0019604,0.0019604
8,198.442,3.06687,3.41665,3.83546,0.00094,0.27778,0.00076,0.00024,2.86189,4.00428,4.06439,0.0019538,0.0019538,0.0019538
9,216.898,2.86527,3.20773,3.72138,0.00113,0.33333,0.00157,0.00052,2.78508,3.97816,4.00868,0.0019472,0.0019472,0.0019472
10,236.321,2.80735,3.04612,3.60166,0.00113,0.33333,0.00165,0.00066,2.69002,3.8228,3.87709,0.0019406,0.0019406,0.0019406
11,254.421,2.87126,2.90182,3.54549,0.00187,0.55556,0.00583,0.002,2.81907,3.58407,3.79078,0.001934,0.001934,0.001934
12,272.609,2.70849,2.94711,3.47289,0.00315,0.94444,0.07404,0.03145,2.40763,3.46618,3.30893,0.0019274,0.0019274,0.0019274
13,290.764,2.63351,3.01461,3.35998,0.05181,0.22222,0.13005,0.04136,2.08783,3.37888,3.05961,0.0019208,0.0019208,0.0019208
14,309.051,2.73064,3.04438,3.29183,0.00315,0.16667,0.00928,0.00302,2.21026,4.95444,3.77754,0.0019142,0.0019142,0.0019142
15,327.298,2.71526,2.65881,3.34496,0.00512,0.27778,0.01691,0.00414,2.71083,4.39582,5.88365,0.0019076,0.0019076,0.0019076
16,345.485,2.63285,2.76368,3.233,0.18973,0.11111,0.1513,0.07474,2.39365,3.53816,5.63197,0.001901,0.001901,0.001901
17,363.853,2.35907,2.55225,3.14162,0.17593,0.5,0.2191,0.07778,2.3655,2.88466,5.59505,0.0018944,0.0018944,0.0018944
18,382.169,2.72277,2.64103,3.22863,0.79647,0.43561,0.46781,0.16566,2.33401,3.20444,6.79644,0.0018878,0.0018878,0.0018878
19,400.444,2.38878,2.47687,3.07612,0.65528,0.27778,0.29254,0.15267,2.79426,4.30157,8.23888,0.0018812,0.0018812,0.0018812
20,419.049,2.57779,2.38526,3.23984,0.85959,0.33333,0.5737,0.25082,2.47437,3.98236,7.48579,0.0018746,0.0018746,0.0018746
21,437.465,2.50079,2.26841,3.13149,0.775,0.38889,0.51518,0.2254,2.88155,3.20773,5.40823,0.001868,0.001868,0.001868
22,455.812,2.4089,2.21058,3.02852,0.7807,0.5,0.51493,0.25261,2.55679,3.95115,10.5539,0.0018614,0.0018614,0.0018614
23,474.065,2.3611,2.1391,3.05153,0.95967,0.55556,0.67137,0.33234,2.83854,2.46377,4.48555,0.0018548,0.0018548,0.0018548
24,492.245,2.19784,2.0598,2.88296,0.79744,0.5,0.62891,0.34318,2.51369,3.2482,3.20403,0.0018482,0.0018482,0.0018482
25,510.738,2.35486,2.17498,3.0261,0.73582,0.5,0.5588,0.32365,1.8088,2.4998,3.03302,0.0018416,0.0018416,0.0018416
26,531.207,2.33617,2.03364,2.9662,0.71923,0.71206,0.75954,0.46774,1.67912,2.23479,2.6608,0.001835,0.001835,0.001835
27,549.716,2.27735,2.05659,2.91675,0.77319,0.66667,0.67878,0.41637,1.56334,2.96873,3.20377,0.0018284,0.0018284,0.0018284
28,568.558,2.17604,1.97897,2.85582,0.49483,0.44444,0.46187,0.28252,1.65471,11.1212,3.39782,0.0018218,0.0018218,0.0018218
29,586.932,2.24399,2.01124,2.92366,0.58714,0.66667,0.58207,0.33177,2.12267,8.49769,3.54019,0.0018152,0.0018152,0.0018152
30,605.15,2.08094,1.88249,2.74157,0.74155,0.83333,0.79547,0.46563,1.73131,3.61497,2.88338,0.0018086,0.0018086,0.0018086
31,623.659,2.17547,2.0611,2.84769,0.78873,0.82981,0.80497,0.48219,1.62679,2.70049,3.28554,0.001802,0.001802,0.001802
32,642.007,2.02407,1.87277,2.76994,0.91497,0.77778,0.79368,0.48236,1.60933,2.63355,2.78419,0.0017954,0.0017954,0.0017954
33,661.29,2.112,1.93157,2.77657,0.96939,0.77778,0.90489,0.55486,1.7383,2.28871,2.4488,0.0017888,0.0017888,0.0017888
34,682.58,2.04936,1.86773,2.8386,0.5046,0.7926,0.73587,0.42934,1.67748,4.58754,2.51901,0.0017822,0.0017822,0.0017822
35,701.792,1.88497,1.67246,2.56639,0.40895,0.72222,0.59479,0.33486,1.67459,5.03507,2.68466,0.0017756,0.0017756,0.0017756
36,721.222,1.90713,1.79859,2.64538,0.24356,0.53694,0.31112,0.15443,1.73474,5.60611,2.41936,0.001769,0.001769,0.001769
37,740.591,2.06133,1.76644,2.68642,0.21654,0.55556,0.31709,0.17393,1.57364,3.97412,2.19359,0.0017624,0.0017624,0.0017624
38,759.613,2.02264,1.62011,2.56728,0.6532,0.41976,0.60289,0.40735,1.30338,2.34038,2.0663,0.0017558,0.0017558,0.0017558
39,779.547,1.84204,1.64701,2.61735,0.9017,0.83333,0.90651,0.57113,1.32994,1.5739,2.11703,0.0017492,0.0017492,0.0017492
40,799.81,1.84965,1.71051,2.55882,0.79585,0.55556,0.64365,0.35134,1.66663,1.85993,2.36262,0.0017426,0.0017426,0.0017426
41,819.335,1.87686,1.66744,2.65476,0.57984,0.53743,0.58924,0.29557,1.92716,2.14218,2.57763,0.001736,0.001736,0.001736
